Ciclo, Fetch , Identification, Execution, Memory, WriteBack,
1,addi $t0 $zero 2,
2,add $t7 $t2 $t2,addi $t0 $zero 2,
3,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
4,beq $t0 $t1 NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
5,mul $t2 $t2 $t2,beq $t0 $t1 NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
6,addi $t1 $t0 1,NOP ,beq $t0 $t1 NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,
7,NOP ,addi $t1 $t0 1,NOP ,beq $t0 $t1 NEXT,addi $t1 $zero 2,
8,NOP ,NOP ,addi $t1 $t0 1,NOP ,beq $t0 $t1 NEXT,
9,NOP ,NOP ,NOP ,addi $t1 $t0 1,NOP ,
10,NOP ,NOP ,NOP ,NOP ,addi $t1 $t0 1,
